442,LBZ,2025-01-01 06:00:11,D
616,YZV,2025-01-01 06:00:12,D
616,EYI,2025-01-01 06:03:24,A
616,EYI,2025-01-01 06:04:15,D
442,VGQ,2025-01-01 06:04:57,A
691,EGL,2025-01-01 06:05:07,D
248,FTA,2025-01-01 06:05:18,D
442,VGQ,2025-01-01 06:05:53,D
616,WCK,2025-01-01 06:08:21,A
616,WCK,2025-01-01 06:08:51,D
248,NFZ,2025-01-01 06:09:05,A
248,NFZ,2025-01-01 06:09:38,D
691,WON,2025-01-01 06:09:46,A
416,ZRI,2025-01-01 06:10:05,D
714,KYB,2025-01-01 06:10:14,D
707,UCA,2025-01-01 06:10:15,D
691,WON,2025-01-01 06:10:31,D
616,ARY,2025-01-01 06:11:03,A
616,ARY,2025-01-01 06:11:56,D
416,QUF,2025-01-01 06:12:11,A
691,JMP,2025-01-01 06:12:38,A
416,QUF,2025-01-01 06:13:07,D
691,JMP,2025-01-01 06:13:32,D
905,KWZ,2025-01-01 06:15:01,D
707,UES,2025-01-01 06:15:03,A
989,EEL,2025-01-01 06:15:11,D
416,QEF,2025-01-01 06:15:11,A
834,VKO,2025-01-01 06:15:20,D
442,MBZ,2025-01-01 06:15:20,A
707,UES,2025-01-01 06:15:38,D
442,MBZ,2025-01-01 06:16:04,D
416,QEF,2025-01-01 06:16:26,D
442,NBV,2025-01-01 06:17:57,A
442,NBV,2025-01-01 06:18:53,D
714,HOC,2025-01-01 06:19:11,A
416,ZAR,2025-01-01 06:19:46,A
364,PSJ,2025-01-01 06:20:00,D
581,HTM,2025-01-01 06:20:04,D
616,ZJR,2025-01-01 06:20:04,A
714,HOC,2025-01-01 06:20:05,D
750,AZW,2025-01-01 06:20:17,D
747,SOF,2025-01-01 06:20:19,D
416,ZAR,2025-01-01 06:20:28,D
616,ZJR,2025-01-01 06:20:45,D
989,SSR,2025-01-01 06:20:49,A
248,YLX,2025-01-01 06:21:08,A
905,XAK,2025-01-01 06:21:15,A
989,SSR,2025-01-01 06:21:36,D
248,YLX,2025-01-01 06:21:59,D
905,XAK,2025-01-01 06:22:22,D
834,HTM,2025-01-01 06:22:53,A
691,ALM,2025-01-01 06:23:08,A
714,CSW,2025-01-01 06:23:49,A
834,HTM,2025-01-01 06:24:01,D
691,ALM,2025-01-01 06:24:11,D
248,EDS,2025-01-01 06:24:23,A
714,CSW,2025-01-01 06:24:54,D
989,EVS,2025-01-01 06:25:03,A
921,QEP,2025-01-01 06:25:03,D
178,FQA,2025-01-01 06:25:06,D
879,NSV,2025-01-01 06:25:07,D
470,HTM,2025-01-01 06:25:09,D
792,TFX,2025-01-01 06:25:12,D
206,WZI,2025-01-01 06:25:17,D
179,AOI,2025-01-01 06:25:17,D
248,EDS,2025-01-01 06:25:29,D
442,ZPZ,2025-01-01 06:25:37,A
707,LSD,2025-01-01 06:25:38,A
989,EVS,2025-01-01 06:25:46,D
921,IIY,2025-01-01 06:25:58,A
581,VER,2025-01-01 06:26:00,A
442,ZPZ,2025-01-01 06:26:08,D
581,VER,2025-01-01 06:26:39,D
989,PDW,2025-01-01 06:26:44,A
707,LSD,2025-01-01 06:26:53,D
416,HVJ,2025-01-01 06:26:53,A
921,IIY,2025-01-01 06:27:13,D
616,PFT,2025-01-01 06:27:25,A
747,KWZ,2025-01-01 06:27:29,A
989,PDW,2025-01-01 06:27:33,D
416,HVJ,2025-01-01 06:27:33,D
616,PFT,2025-01-01 06:28:13,D
921,QUF,2025-01-01 06:28:14,A
747,KWZ,2025-01-01 06:28:39,D
416,YZZ,2025-01-01 06:28:44,A
921,QUF,2025-01-01 06:29:14,D
834,VER,2025-01-01 06:29:17,A
879,AZW,2025-01-01 06:29:27,A
416,YZZ,2025-01-01 06:29:29,D
248,DAI,2025-01-01 06:29:49,A
834,VER,2025-01-01 06:29:50,D
750,YZZ,2025-01-01 06:29:51,A
206,FPY,2025-01-01 06:29:52,A
989,JUW,2025-01-01 06:29:53,A
364,JIA,2025-01-01 06:30:05,A
934,PMJ,2025-01-01 06:30:07,D
600,YOF,2025-01-01 06:30:07,D
146,GVR,2025-01-01 06:30:09,D
905,NBV,2025-01-01 06:30:10,A
770,VGQ,2025-01-01 06:30:12,D
861,HTI,2025-01-01 06:30:12,D
751,NSV,2025-01-01 06:30:17,D
989,JUW,2025-01-01 06:30:23,D
178,FCR,2025-01-01 06:30:28,A
879,AZW,2025-01-01 06:30:29,D
750,YZZ,2025-01-01 06:30:32,D
248,DAI,2025-01-01 06:30:39,D
442,MFD,2025-01-01 06:30:43,A
470,VER,2025-01-01 06:30:50,A
905,NBV,2025-01-01 06:30:51,D
206,FPY,2025-01-01 06:31:00,D
178,FCR,2025-01-01 06:31:03,D
921,ZRI,2025-01-01 06:31:04,A
364,JIA,2025-01-01 06:31:05,D
691,MFW,2025-01-01 06:31:19,A
442,MFD,2025-01-01 06:31:20,D
750,HVJ,2025-01-01 06:31:41,A
